                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.0478,                 2.1878,                 2.0934,                0.17105,                0.33388,                0.18645,                 0.0722,                 2.4474,                 2.5783,                 2.3874,             0.00093169,             0.00093169,             0.00093169
                     71,                 2.0177,                 2.1901,                 2.1306,                0.44268,                0.20927,                0.16951,                0.06115,                  2.493,                 2.7512,                  2.478,              0.0009307,              0.0009307,              0.0009307
                     72,                 2.0201,                 2.2371,                 2.1484,                0.42181,                0.28493,                  0.174,                0.05363,                 2.5374,                 2.7885,                 2.4605,             0.00092971,             0.00092971,             0.00092971
                     73,                 1.9271,                  2.224,                 2.0943,                0.25548,                0.27811,                0.18136,                0.05301,                 2.4367,                 2.6641,                 2.4395,             0.00092872,             0.00092872,             0.00092872
                     74,                 1.9209,                 2.2554,                 2.0658,                0.27041,                 0.2974,                0.18879,                0.05435,                 2.4823,                  2.609,                 2.4835,             0.00092773,             0.00092773,             0.00092773
                     75,                 1.9471,                 2.2471,                   2.08,                0.26725,                0.29267,                0.19255,                0.06189,                 2.4783,                 2.5337,                 2.4079,             0.00092674,             0.00092674,             0.00092674
                     76,                 1.9549,                  2.304,                 2.0768,                0.43755,                0.30475,                 0.3475,                0.12367,                  2.497,                 2.5189,                 2.3909,             0.00092575,             0.00092575,             0.00092575
                     77,                 1.9145,                 2.3142,                 2.0663,                0.43755,                0.30475,                 0.3475,                0.12367,                  2.497,                 2.5189,                 2.3909,             0.00092476,             0.00092476,             0.00092476
                     78,                 1.9547,                 2.2054,                 2.1188,                0.45685,                0.32317,                0.35109,                0.12149,                 2.4907,                 2.5878,                 2.3464,             0.00092377,             0.00092377,             0.00092377
                     79,                 1.9167,                 2.1764,                 2.0548,                0.46079,                0.28921,                0.27877,                0.10821,                 2.4473,                 2.5415,                 2.3311,             0.00092278,             0.00092278,             0.00092278
                     80,                 1.8862,                 2.1013,                 2.0114,                0.35581,                 0.3189,                0.27052,                0.11036,                 2.4349,                 2.5497,                 2.3387,             0.00092179,             0.00092179,             0.00092179
                     81,                 1.9224,                 2.2512,                 2.0366,                0.28751,                0.29165,                0.20685,                0.09568,                 2.5253,                 2.6485,                 2.4211,              0.0009208,              0.0009208,              0.0009208
                     82,                 1.8227,                 2.1305,                 2.0306,                 0.3116,                0.33495,                0.17672,                0.07967,                  2.351,                 2.7042,                 2.3939,             0.00091981,             0.00091981,             0.00091981
                     83,                 1.9509,                 2.2026,                  2.111,                0.29476,                0.34363,                0.20995,                0.06731,                 2.4234,                 2.5663,                 2.4061,             0.00091882,             0.00091882,             0.00091882
                     84,                 1.9061,                 2.1811,                 2.0879,                0.27046,                0.34558,                0.16376,                0.06471,                 2.3964,                 2.4864,                 2.3868,             0.00091783,             0.00091783,             0.00091783
                     85,                 1.9027,                 2.1764,                 2.0525,                0.27046,                0.34558,                0.16376,                0.06471,                 2.3964,                 2.4864,                 2.3868,             0.00091684,             0.00091684,             0.00091684
                     86,                 1.9308,                  2.106,                 2.0197,                0.28376,                0.30689,                0.16892,                0.06539,                 2.3404,                 2.5101,                  2.334,             0.00091585,             0.00091585,             0.00091585
                     87,                 1.8918,                 2.1668,                 2.0668,                0.15527,                0.34731,                0.17113,                0.06899,                 2.3489,                 2.6277,                 2.3423,             0.00091486,             0.00091486,             0.00091486
                     88,                 1.8837,                 2.1013,                  2.073,                0.13391,                0.32461,                0.15717,                0.06396,                   2.44,                  2.711,                 2.4292,             0.00091387,             0.00091387,             0.00091387
                     89,                 1.8968,                 2.1068,                 2.0523,                0.25668,                0.31213,                0.14851,                0.05445,                 2.4612,                 2.6441,                 2.4124,             0.00091288,             0.00091288,             0.00091288
                     90,                 1.8688,                 2.1907,                 2.0335,                0.15637,                0.33313,                0.16441,                0.05695,                 2.4371,                 2.4701,                 2.3926,             0.00091189,             0.00091189,             0.00091189
                     91,                 1.8709,                 2.2178,                 2.0522,                0.37818,                0.35627,                0.21806,                0.07701,                  2.468,                 2.3798,                  2.415,              0.0009109,              0.0009109,              0.0009109
                     92,                 1.9382,                 2.2086,                 2.0588,                0.37943,                0.35254,                0.17961,                0.06603,                 2.4742,                 2.3919,                 2.4203,             0.00090991,             0.00090991,             0.00090991
                     93,                 1.9004,                 2.1499,                 2.0847,                0.37943,                0.35254,                0.17961,                0.06603,                 2.4742,                 2.3919,                 2.4203,             0.00090892,             0.00090892,             0.00090892
                     94,                 1.8907,                 2.1313,                 2.0958,                0.34676,                0.31602,                0.15487,                  0.054,                 2.5032,                 2.5462,                 2.4254,             0.00090793,             0.00090793,             0.00090793
                     95,                 1.9481,                  2.379,                  2.119,                0.32002,                0.31279,                0.13956,                0.05381,                 2.4978,                 2.6022,                 2.4613,             0.00090694,             0.00090694,             0.00090694
                     96,                 1.9626,                 2.1328,                 2.0953,                0.36632,                0.24645,                0.13573,                0.05194,                 2.5057,                  2.536,                 2.4762,             0.00090595,             0.00090595,             0.00090595
                     97,                 1.9083,                 2.0246,                 1.9995,                0.34256,                0.31571,                0.18364,                0.06552,                 2.5502,                 2.5581,                 2.5023,             0.00090496,             0.00090496,             0.00090496
                     98,                 1.8625,                 2.0767,                 2.0296,                0.42171,                0.28798,                0.19824,                0.08031,                 2.5106,                 2.5481,                  2.479,             0.00090397,             0.00090397,             0.00090397
                     99,                  1.762,                 2.2119,                 1.9467,                0.37565,                0.25514,                 0.1964,                0.08762,                 2.4264,                  2.553,                 2.4101,             0.00090298,             0.00090298,             0.00090298
                    100,                 1.8422,                 2.1131,                 2.0266,                0.33399,                0.24924,                0.17297,                0.07125,                 2.3834,                 2.5406,                 2.3889,             0.00090199,             0.00090199,             0.00090199
                    101,                 1.7513,                 2.0389,                 2.0198,                0.33399,                0.24924,                0.17297,                0.07125,                 2.3834,                 2.5406,                 2.3889,               0.000901,               0.000901,               0.000901
                    102,                 1.8035,                 2.0863,                 2.0434,                 0.3231,                0.30233,                0.18136,                0.07314,                 2.3818,                 2.4699,                 2.3517,             0.00090001,             0.00090001,             0.00090001
                    103,                 1.8207,                 2.1119,                 2.0468,                0.33883,                0.26695,                 0.1848,                0.07489,                 2.4282,                 2.4427,                 2.3898,             0.00089902,             0.00089902,             0.00089902
                    104,                 1.8019,                 2.0031,                 1.9609,                0.33699,                0.29878,                0.19892,                0.08124,                 2.3536,                 2.3938,                 2.4059,             0.00089803,             0.00089803,             0.00089803
                    105,                 1.9157,                 2.1814,                 2.0753,                0.33659,                0.30493,                0.22379,                0.08408,                 2.3786,                 2.3534,                 2.4281,             0.00089704,             0.00089704,             0.00089704
                    106,                 1.8035,                 1.9891,                 2.0137,                0.31603,                0.46666,                0.34835,                0.12299,                 2.3996,                 2.3939,                 2.4029,             0.00089605,             0.00089605,             0.00089605
                    107,                  1.851,                 2.0795,                 2.0002,                0.34479,                0.30728,                0.31471,                0.12634,                 2.3973,                  2.474,                 2.3448,             0.00089506,             0.00089506,             0.00089506
                    108,                 1.8449,                 2.0455,                 1.9779,                0.31752,                0.30392,                0.17485,                0.07061,                 2.3378,                  2.596,                 2.3231,             0.00089407,             0.00089407,             0.00089407
                    109,                 1.8786,                 2.2212,                 2.0163,                0.31752,                0.30392,                0.17485,                0.07061,                 2.3378,                  2.596,                 2.3231,             0.00089308,             0.00089308,             0.00089308
                    110,                 1.8695,                 2.1015,                 2.0582,                 0.2975,                0.26979,                0.15417,                0.06709,                 2.3167,                 2.5186,                  2.293,             0.00089209,             0.00089209,             0.00089209
                    111,                 1.9051,                 2.1555,                 2.0509,                0.31491,                0.26277,                0.13629,                0.05384,                 2.3323,                 2.4452,                 2.3287,              0.0008911,              0.0008911,              0.0008911
                    112,                 1.8154,                 2.0494,                 2.0177,                0.12883,                 0.3535,                  0.147,                0.06053,                 2.3119,                 2.5073,                 2.3493,             0.00089011,             0.00089011,             0.00089011
                    113,                 1.8644,                 2.0796,                 2.0733,                 0.3831,                0.22551,                0.15146,                 0.0535,                   2.35,                 2.5374,                 2.3847,             0.00088912,             0.00088912,             0.00088912
                    114,                 1.9173,                 2.1069,                 2.0643,                0.30412,                0.25859,                0.16345,                0.05715,                 2.3875,                 2.4965,                 2.4198,             0.00088813,             0.00088813,             0.00088813
                    115,                 1.7866,                 2.1117,                 1.9998,                0.15413,                0.34919,                0.16565,                0.05839,                 2.4033,                 2.3993,                 2.4369,             0.00088714,             0.00088714,             0.00088714
                    116,                 1.8173,                 1.9563,                 2.0125,                0.16133,                0.39733,                0.18755,                0.06769,                 2.3463,                 2.3699,                 2.4095,             0.00088615,             0.00088615,             0.00088615
                    117,                 1.8158,                 2.0763,                 2.0224,                0.16133,                0.39733,                0.18755,                0.06769,                 2.3463,                 2.3699,                 2.4095,             0.00088516,             0.00088516,             0.00088516
                    118,                 1.8733,                 2.0877,                 2.0605,                 0.1432,                0.31957,                0.18376,                0.06881,                 2.4785,                 2.5186,                 2.4495,             0.00088417,             0.00088417,             0.00088417
                    119,                 1.8383,                 2.0987,                 2.0359,                0.31924,                0.28368,                0.30285,                0.09812,                 2.6011,                 2.6663,                 2.4678,             0.00088318,             0.00088318,             0.00088318
                    120,                 1.8651,                 2.0553,                 2.0565,                0.32091,                 0.2114,                0.15387,                0.05597,                 2.4743,                 2.6127,                 2.4365,             0.00088219,             0.00088219,             0.00088219
                    121,                 1.7579,                 2.0019,                 1.9862,                0.14062,                0.32938,                0.13971,                0.05772,                 2.3087,                 2.5321,                 2.3523,              0.0008812,              0.0008812,              0.0008812
                    122,                 1.8903,                  2.184,                 2.0662,                0.29683,                0.29047,                0.13583,                 0.0569,                 2.3468,                 2.5422,                 2.3644,             0.00088021,             0.00088021,             0.00088021
                    123,                 1.8039,                 2.0358,                 2.0565,                0.52202,                 0.1777,                0.14863,                0.06277,                 2.3546,                 2.5012,                 2.3623,             0.00087922,             0.00087922,             0.00087922
                    124,                 1.7965,                 1.9388,                  2.057,                0.31571,                0.23121,                0.15852,                0.06333,                 2.3754,                 2.4985,                 2.4105,             0.00087823,             0.00087823,             0.00087823
                    125,                 1.7499,                 2.0947,                 1.9451,                0.31571,                0.23121,                0.15852,                0.06333,                 2.3754,                 2.4985,                 2.4105,             0.00087724,             0.00087724,             0.00087724
                    126,                 1.7615,                 2.0317,                 2.0104,                0.33666,                0.24539,                0.18272,                0.07042,                 2.3786,                 2.6619,                 2.4006,             0.00087625,             0.00087625,             0.00087625
                    127,                  1.823,                 2.1496,                 2.0419,                0.36454,                0.25309,                0.19763,                0.08186,                 2.4102,                 2.7047,                 2.4386,             0.00087526,             0.00087526,             0.00087526
