                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.4876,                 1.7713,                  1.888,                 1.3543,                0.23122,                0.40624,                 0.2366,                0.05167,                 0.1811,                0.38889,                0.16202,                0.03019,                 3.4096,                 2.4211,                 2.0779,                0.97409,              0.0015746,              0.0015746,              0.0015746
                     58,                 2.5561,                 2.1475,                 1.8661,                 1.2884,                0.42732,                0.29027,                0.34545,                0.07512,                0.19164,                0.33333,                0.21202,                0.03408,                 3.2364,                 2.6221,                 2.1129,                0.96379,              0.0015729,              0.0015729,              0.0015729
                     59,                 2.6204,                 1.9287,                 1.9323,                 1.2948,                0.42732,                0.29027,                0.34545,                0.07512,                0.19164,                0.33333,                0.21202,                0.03408,                 3.2364,                 2.6221,                 2.1129,                0.96379,              0.0015713,              0.0015713,              0.0015713
                     60,                 2.5543,                 1.8701,                 1.9684,                 1.3068,                0.26768,                0.57407,                0.37606,                0.10948,                0.19569,                0.48148,                0.23351,                0.06363,                 2.9182,                 2.0205,                 2.2035,                0.97584,              0.0015696,              0.0015696,              0.0015696
                     61,                 2.5648,                 1.6377,                 1.8617,                 1.2779,                0.26768,                0.57407,                0.37606,                0.10948,                0.19569,                0.48148,                0.23351,                0.06363,                 2.9182,                 2.0205,                 2.2035,                0.97584,               0.001568,               0.001568,               0.001568
                     62,                 2.4274,                 2.1277,                  1.774,                 1.3918,                  0.059,                0.31481,                0.04605,                0.01084,                0.07083,                 0.2963,                0.05766,                0.01326,                 3.5013,                 2.0531,                 2.8623,                 1.6851,              0.0015663,              0.0015663,              0.0015663
                     63,                 2.4552,                 1.7293,                 1.8291,                 1.3575,                  0.059,                0.31481,                0.04605,                0.01084,                0.07083,                 0.2963,                0.05766,                0.01326,                 3.5013,                 2.0531,                 2.8623,                 1.6851,              0.0015647,              0.0015647,              0.0015647
                     64,                 2.5888,                 2.1172,                 1.8553,                 1.2761,                0.17106,                0.57407,                0.17768,                0.03987,                0.14818,                0.53704,                0.14511,                0.03346,                 3.0965,                 2.0205,                 2.0995,                 1.1849,               0.001563,               0.001563,               0.001563
                     65,                 2.4201,                 2.1284,                 1.7747,                 1.3173,                0.17106,                0.57407,                0.17768,                0.03987,                0.14818,                0.53704,                0.14511,                0.03346,                 3.0965,                 2.0205,                 2.0995,                 1.1849,              0.0015614,              0.0015614,              0.0015614
                     66,                 2.5099,                 1.8706,                 1.8883,                  1.294,                0.21765,                0.47065,                0.27171,                0.05992,                0.19407,                 0.4233,                0.19853,                0.04413,                 3.0085,                 1.9728,                 2.1435,                 1.0733,              0.0015597,              0.0015597,              0.0015597
